veiculo_id,camada,serie,isin,data_emissao,data_vencimento,prazo_meses,quantidade_ofertada_lote_base,quantidade_subscrita,valor_nominal_unitario_R,montante_ofertado_Rmi,montante_subscrito_Rmi,montante_reportado_deck_Rmi,pct_da_emissao,indexador,taxa_teto_lamina,taxa_piso_lamina,taxa_contratada,perna_que_prevaleceu,duration_dias,pu_atual_R,rating_agencia,rating_nota,colocacao,retida_pelo_originador,data_base,fonte_id,status
CRI-III,Mezanino,4a,BRKNSTCRI0D8,2025-05-28,2035-05-08,120,60000,75000,1000.00,60.0,75.0,75.0,10.0,DI+,n/a,n/a,"100% DI + 5,75% a.a.",n/a,3632,715.23,n/d,n/d,Pública,Não,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
CRI-III,Subordinado,5a,BRKNSTCRI0E6,2025-05-28,2035-05-08,120,24000,30000,1000.00,24.0,30.0,30.0,4.0,DI+,n/a,n/a,"100% DI + 10,00% a.a.",n/a,3632,716.24,n/d,n/d,Pública,Não,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
CRI-III,Subordinado Jr.,6a,n/d,2025-05-28,2037-05-08,144,Proporcional ao lote adicional exercido,n/d,1000.00,n/d,n/d,22.5,3.0,Pré,n/a,n/a,"13,6300% a.a.",n/a,n/d,1167.84,n/d,n/d,Privada,Sim,2026-08-21,ANX-LAM-K3; ANX-PRO-K3; ANX-DECK,Documentado
CRI-IV,Super Sênior A,1a,BRKNSTCRI0G1,2025-09-28,2030-09-20,60,195000,n/d,1000.00,195.0,n/d,195.0,43.3,Pré,n/d,n/d,"14,2216% a.a.",n/d,n/d,803.25,Moody's,AAA (preliminar; definitiva n/d),Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Super Sênior B,2a,BRKNSTCRI0K3,2025-09-28,2030-09-20,60,97500,n/d,1000.00,97.5,n/d,97.5,21.7,Pré,n/d,n/d,"14,2216% a.a.",n/d,n/d,803.25,Moody's,AAA (preliminar; definitiva n/d),Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Sênior A,3a,BRKNSTCRI0H9,2025-09-28,2033-09-22,96,54000,n/d,1000.00,54.0,n/d,54.0,12.0,Pré,n/d,n/d,"15,3565% a.a.",n/d,n/d,828.75,Moody's,AA- (preliminar; definitiva n/d),Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Sênior B,4a,BRKNSTCRI0M9,2025-09-28,2033-09-22,96,27000,n/d,1000.00,27.0,n/d,27.0,6.0,Pré,n/d,n/d,"15,3565% a.a.",n/d,n/d,828.75,Moody's,AA- (preliminar; definitiva n/d),Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Mezanino,5a,BRKNSTCRI0I7,2025-09-28,2035-09-24,120,45000,n/d,1000.00,45.0,n/d,45.0,10.0,DI+,n/a,n/a,"100% DI + 5,50% a.a.",n/a,n/d,1060.08,n/d,n/d,Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Subordinado,6a,BRKNSTCRI0J5,2025-09-28,2035-09-24,120,18000,n/d,1000.00,18.0,n/d,18.0,4.0,DI+,n/a,n/a,"100% DI + 10,00% a.a.",n/a,n/d,1227.75,n/d,n/d,Pública,Não,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-IV,Subordinado Jr.,7a,n/d,2025-09-28,2037-09-22,144,n/d,n/d,1000.00,n/d,n/d,13.5,3.0,Pré,n/a,n/a,"13,2480% a.a.",n/a,n/d,n/d,n/d,n/d,Privada,Sim,2026-08-21,ANX-INI-K4; ANX-DECK,Documentado
CRI-V,Super Sênior A,1a,BRVERTCRIDZ7,2026-05-20,2031-05-20,60,525000 (A+B por vasos comunicantes),103870,1000.00,525.0 (A+B),103.870,103.870,22.1,Pré,"DI fut. jul/2028 + 0,65% a.a.","14,00% a.a.","14,8064% a.a.",Perna DI (acima do piso),659,1014.90,Moody's,AAA,Pública,Não,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-V,Super Sênior B,2a,BRVERTCRIE08,2026-05-20,2031-05-20,60,525000 (A+B por vasos comunicantes),225550,1000.00,525.0 (A+B),225.550,225.550,47.9,%DI,n/a,n/a,"104,00% do DI",n/a,660,1015.06,Moody's,AAA,Pública,Não,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-V,Sênior,3a,BRVERTCRIE16,2026-05-20,2034-05-22,96,112500,70590,1000.00,112.5,70.590,70.590,15.0,Pré,"DI fut. jul/2028 + 1,50% a.a.","14,95% a.a.","15,7760% a.a.",Perna DI (acima do piso),713,1015.82,Moody's,AA-,Pública,Não,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-V,Mezanino,4a,BRVERTCRIE24,2026-05-20,2036-05-20,120,60000,37647,1000.00,60.0,37.647,37.647,8.0,DI+,n/a,n/a,"100% DI + 5,50% a.a.",n/a,690,1020.28,n/d,n/d,Pública,Não,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-V,Subordinado,5a,BRVERTCRIE32,2026-05-20,2036-05-20,120,30000,18824,1000.00,30.0,18.824,18.824,4.0,DI+,n/a,n/a,"100% DI + 8,00% a.a.",n/a,689,1022.85,n/d,n/d,Pública,Não,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-V,Subordinado Jr.,6a,BRVERTCRIE40,2026-05-20,2038-05-20,144,n/d,n/d,1000.00,n/d,n/d,14.1,3.0,Pré,n/a,n/a,"14,0650% a.a.",n/a,n/d,1014.20,n/d,n/d,Privada,Sim,2026-08-21,ANX-LAM-V174; ANX-PRO-V174; ANX-DECK,Documentado
CRI-VI,Sênior A,1ª,BRVERTCRIEC4,2026-07-21,2031-05-20,58,100000,100000,1000.00,100.0,100.0,100.0,15.5,DI+,n/a,n/a,"100% DI + 1,50% a.a. (base 252)",n/a,n/d,n/d,Sem classificação de risco mínima da Emissão,n/d,Pública,Não,2026-07-31,ANX-TS-V177; ANX-DECK,Documentado
CRI-VI,Sênior B,2ª,BRVERTCRIED2,2026-07-21,2031-07-21,60,450000,450000,1000.00,450.0,450.0,450.0,69.5,DI+,n/a,n/a,"100% DI + 2,00% a.a. (base 252)",n/a,n/d,n/d,Sem classificação de risco mínima da Emissão,n/d,Pública,Não,2026-07-31,ANX-TS-V177; ANX-DECK,Documentado
CRI-VI,Mezanino I,3ª,BRVERTCRIEE0,2026-07-21,2036-07-21,120,51765,51765,1000.00,51.765,51.765,51.765,8.0,DI+,n/a,n/a,"100% DI + 5,50% a.a. (base 252)",n/a,n/d,n/d,Sem classificação de risco mínima da Emissão,n/d,Pública,Não,2026-07-31,ANX-TS-V177; ANX-DECK,Documentado
CRI-VI,Mezanino II,4ª,BRVERTCRIEF7,2026-07-21,2036-07-21,120,25882,25882,1000.00,25.882,25.882,25.882,4.0,DI+,n/a,n/a,"100% DI + 8,00% a.a. (base 252)",n/a,n/d,n/d,Sem classificação de risco mínima da Emissão,n/d,Pública,Não,2026-07-31,ANX-TS-V177; ANX-DECK,Documentado
CRI-VI,Subordinado Jr.,5ª,n/d,2026-07-21,2038-07-20,144,19412,19412,1000.00,19.412,19.412,19.412,3.0,%DI,n/a,n/a,100% da Taxa DI,n/a,n/d,n/d,Sem classificação de risco mínima da Emissão,n/d,Privada,Sim,2026-07-31,ANX-TS-V177; ANX-DECK,Documentado
FIDC-I,Sênior,1a em. Série Única,n/d,2020-12-09,n/d,n/d,n/d,n/d,n/d,375.0,367.0,367.0,n/d,IPCA+,n/a,n/a,"IPCA + 6,75% a.a.",n/a,n/d,n/d,Austin Rating,brA+(sf)(p),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-I,Mezanino,1a em. Sub. Mezz,n/d,2020-12-09,n/d,n/d,n/d,n/d,n/d,50.0,51.7,51.7,n/d,IPCA+,n/a,n/a,"IPCA + 8,00% a.a.",n/a,n/d,n/d,Austin Rating,brA-(sf)(p),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-I,Subordinado Jr.,1a em. Sub. Júnior,n/d,2020-12-09,n/d,n/d,n/d,n/d,n/d,n/d,83.6,83.6,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,Austin Rating,brBBB-(sf)(p),Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-I,Subordinado Jr.,2a oferta Sub. Júnior,n/d,2021-11-05,n/d,n/d,n/d,n/d,n/d,50.0,6.7,6.7,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,Austin Rating,brBBB-(sf) da classe júnior,Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-I,Subordinado Jr.,3a oferta Sub. Júnior,n/d,2021-12-21,n/d,n/d,n/d,n/d,n/d,n/d,2.5,2.5,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,Austin Rating,brBBB-(sf) da classe júnior,Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-I,Mezanino,Sub. Mezz B,n/d,2022-06-20,n/d,n/d,n/d,n/d,n/d,58.6,n/d,58.6,n/d,IPCA+,n/a,n/a,IPCA positivo (percentual n/d),n/a,n/d,n/d,n/d,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-II,Sênior,1a em. Série Única,n/d,2021-10-07,n/d,n/d,n/d,n/d,n/d,500.0,500.0,500.0,n/d,IPCA+,n/a,n/a,"IPCA + 11,00% m1-12; IPCA + 8,00% m13-49; IPCA + 7,00% m50+",n/a,n/d,n/d,Austin Rating,brA(sf)(p),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-II,Mezanino,1a em. Sub. Mezz A,n/d,2021-10-07,n/d,n/d,n/d,n/d,n/d,100.0,100.0,100.0,n/d,IPCA+,n/a,n/a,"IPCA + 13,00% m1-12; IPCA + 12,50% m13-49; IPCA + 11,50% m50+",n/a,n/d,n/d,Austin Rating,brBBB(sf)(p),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-II,Sênior,2a em. 2ª Série,n/d,2022-04-25,n/d,n/d,n/d,n/d,n/d,80.0,80.0,80.0,n/d,IPCA+,n/a,n/a,"IPCA + 11,00% m1-6; IPCA + 8,00% m7-43; IPCA + 7,00% m44+",n/a,n/d,n/d,Austin Rating,brA(sf) inicial,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-II,Mezanino,2a em. Sub. Mezz B,n/d,2022-04-25,n/d,n/d,n/d,n/d,n/d,16.0,16.0,16.0,n/d,IPCA+,n/a,n/a,"IPCA + 13,00% m1-6; IPCA + 12,50% m7-43; IPCA + 11,50% m44+",n/a,n/d,n/d,Austin Rating,brBBB(sf) inicial,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-II,Subordinado Jr.,1a em. Sub. Júnior,n/d,2021-09-24,n/d,n/d,n/d,n/d,n/d,25.0,n/d,25.0,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,Austin Rating,brBB+(sf)(p),Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-III,Sênior,1ª Série,n/d,2023-07-10,n/d,n/d,n/d,n/d,n/d,375.0,312.5,312.5,n/d,DI+,n/a,n/a,"CDI + 3,50% a.a.",n/a,n/d,n/d,Fitch Ratings,AAsf(bra) pos-oferta,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-III,Mezanino,Sub. Mezz A,n/d,2023-07-10,n/d,n/d,n/d,n/d,n/d,75.0,62.5,62.5,n/d,DI+,n/a,n/a,"CDI + 5,75% a.a.",n/a,n/d,n/d,Fitch Ratings,BBB-sf(bra) pos-oferta,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-III,Mezanino,Sub. Mezz B,n/d,2023-07-10,n/d,n/d,n/d,n/d,n/d,30.0,25.0,25.0,n/d,DI+,n/a,n/a,"CDI + 7,75% a.a.; CDI + 6,75% se Mezz B >=12%",n/a,n/d,n/d,Austin Rating,brBBB(sf) inicial,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-III,Subordinado Jr.,Sub. Júnior (privada),n/d,2023-09-30,n/d,n/d,n/d,n/d,n/d,20.0,n/d,20.0,n/d,Residual,n/a,n/a,n.a.,n/a,n/d,n/d,Fitch Ratings,NA - não avaliada,Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Sênior,1a em. Única Sênior A,n/d,2022-06-23,n/d,n/d,n/d,n/d,n/d,375.0,375.0,375.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,n/d,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Mezanino,1a em. Sub. Mezz A-1,n/d,2022-06-23,n/d,n/d,n/d,n/d,n/d,75.0,75.0,75.0,n/d,DI+,n/a,n/a,"DI + 6,65% a.a.",n/a,n/d,n/d,Austin Rating,brBBB+(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Subordinado Jr.,1a em. Sub. Júnior,n/d,n/d,n/d,n/d,n/d,n/d,n/d,50.0,n/d,50.0,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,n/d,n/d,Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Sênior,1a em. Sênior B,n/d,2023-01-12,n/d,n/d,n/d,n/d,n/d,250.0,250.0,250.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,n/d,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Mezanino,1a em. Sub. Mezz A-2,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,10.0,10.0,10.0,n/d,DI+,n/a,n/a,"DI + 7,30% até 23/06/2025; DI + 8,30% após",n/a,n/d,n/d,Austin Rating,brBBB+(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Mezanino,1a em. Sub. Mezz B-1,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,50.0,50.0,50.0,n/d,DI+,n/a,n/a,"DI + 6,20% até 23/06/2025; DI + 7,20% após",n/a,n/d,n/d,Austin Rating,brBBB+(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Mezanino,1a em. Sub. Mezz B-2,n/d,2023-01-13,n/d,n/d,n/d,n/d,n/d,7.0,7.0,7.0,n/d,DI+,n/a,n/a,"DI + 7,30% até 23/06/2025; DI + 8,30% após",n/a,n/d,n/d,Austin Rating,brBBB+(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-IV,Sênior,1a em. Sênior C,n/d,2023-12-05,n/d,n/d,n/d,n/d,n/d,260.0,250.0,250.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,n/d,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-V,Sênior,1a em. Única,n/d,2022-12-08,n/d,n/d,n/d,n/d,n/d,300.0,113.3,113.3,n/d,IPCA+,n/a,n/a,"IPCA + 10,00% a.a.; piso 10,00%",n/a,n/d,n/d,Austin Rating,brA(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-V,Mezanino,1a em. Única Sub. Mezz,n/d,2022-12-08,n/d,n/d,n/d,n/d,n/d,56.3,18.5,18.5,n/d,IPCA+,n/a,n/a,"IPCA + 13,00% a.a.; piso 13,00%",n/a,n/d,n/d,Austin Rating,brBBB(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-V,Subordinado Jr.,Sub. Júnior (privada),n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,Austin Rating,brBB-(sf),Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-VI,Sênior,1ª série,n/d,2024-11-06,n/d,n/d,n/d,n/d,n/d,700.0,700.0,700.0,n/d,DI+,n/a,n/a,"DI + 3,50% a.a.",n/a,n/d,n/d,Austin Rating,brAA(sf),Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VI,Mezanino,1ª série Sub. Mezz A,n/d,2024-11-06,n/d,n/d,n/d,n/d,n/d,140.0,140.0,140.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,Sem rating,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VI,Mezanino,1ª série Sub. Mezz B,n/d,2024-11-06,n/d,n/d,n/d,n/d,n/d,56.0,56.0,56.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,Sem rating,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VI,Subordinado Jr.,Sub. Júnior (privada),n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,n/d,n/d,Privada,Sim,2026-07-31,ANX-DECK,Documentado
FIDC-VII,Sênior,1ª série Sênior,n/d,2026-01-13,n/d,n/d,n/d,n/d,n/d,600.0,600.0,600.0,n/d,DI+,n/a,n/a,"DI + 2,00% a.a.",n/a,n/d,n/d,Moody's America Latina,AA+.br(sf) definitivo em 06/02/2026,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VII,Mezanino,1ª série Sub. Mezz A,n/d,2026-01-13,n/d,n/d,n/d,n/d,n/d,120.0,120.0,120.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,Sem rating,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VII,Mezanino,1ª série Sub. Mezz B,n/d,2026-01-13,n/d,n/d,n/d,n/d,n/d,48.0,48.0,48.0,n/d,n/d,n/a,n/a,n/d,n/a,n/d,n/d,Sem rating,n/d,Privada/restrita,Não,2026-07-31,ANX-DECK,Documentado
FIDC-VII,Subordinado Jr.,Sub. Júnior (privada),n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Residual,n/a,n/a,Residual / sem benchmark,n/a,n/d,n/d,n/d,n/d,Privada,Sim,2026-07-31,ANX-DECK,Documentado
DEB-I,Sênior,1ª,BRAMSCDBS000,2022-02-18,2033-02-18,132,57000,n/d,1000.00,57.0,n/d,57.0,95.0,IPCA+,n/a,n/a,"IPCA + 7,22% a.a.",n/a,n/d,438.97,Sem rating público,n/d,Pública com esforços restritos (CVM 476),Não,2026-07-31,ANX-ESC-DEB; ANX-RMA-DEB,Documentado
DEB-I,Subordinado Jr.,2ª,BRAMSCDBS018,2022-02-18,2035-08-18,162,3000,n/d,1000.00,3.0,n/d,3.0,5.0,IPCA+,n/a,n/a,"IPCA + 7,22% a.a.",n/a,n/d,1643.86,Sem rating público,n/d,Privada,Sim,2026-07-31,ANX-ESC-DEB; ANX-RMA-DEB,Documentado
