termo_canonico,aliases_grafias,categoria,definicao_proposta,tipo_afirmacao,fundos_com_evidencia,denominador_documentacao_suficiente,frequencia_equal_weight,frequencia_ponderada_pl,familias_economicas_independentes,administradores_distintos,gestores_distintos,segmentos_oficiais,cnpjs_com_evidencia,exclui_fic_fidc,escopo_calculo,status
expressão literal excesso de spread,,prática contratual,Ver evidence_long.csv e verbete canônico; thresholds permanecem específicos do documento.,ausência de expressão literal no corpus,0,15,0.0,0.0,0,0,0,,,True,prevalência contratual no denominador substantivo,descartar como prática; manter apenas inferência analítica
First Payment Default (FPD),FPD; first payment default; default na primeira parcela,desempenho,"Exposição da coorte em default na primeira obrigação dividida pela exposição elegível da coorte; coorte, janela e critério de default devem ser declarados.",convenção analítica; ausência de definição literal no corpus varrido,0,não aplicável — convenção analítica,,,0,0,0,,,True,convenção analítica auditada; não implica prática de mercado,legado; corrigir
aging contratual,,desempenho,Faixas contratuais podem divergir da granularidade do Informe Mensal.,específica de fundo,1,15,0.06666666666666667,0.025846363662209007,1,1,1,Financeiro,42922136000107,True,candidato atômico; frequência não implica prática de mercado,expandir
alocação em direitos creditórios,,política de investimento,Mais de 50% do PL em direitos creditórios; classe de cotas de FIDC observa mínimo de 67%.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
ausência de limite contratual,,concentração,"A inexistência contratual de determinado limite é caso específico, não regra.",específica de fundo,1,15,0.06666666666666667,0.029223301315793038,1,1,1,Financeiro,63700113000110,True,candidato atômico; frequência não implica prática de mercado,novo
ausência de subordinação,,estrutura de capital,Waterfall não implica necessariamente subclasses subordinadas.,contraprova específica,1,15,0.06666666666666667,0.025846363662209007,1,1,1,Financeiro,42922136000107,True,candidato atômico; frequência não implica prática de mercado,novo
benchmark não garantido,,oferta e remuneração,Índice ou meta não é obrigação incondicional de retorno.,prática recorrente,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,corrigir
cessão sem regresso,,transferência,Ausência de regresso por solvência não elimina responsabilidade por existência e formalização.,prática recorrente,3,15,0.2,0.278155300604324,3,3,3,Cartão de crédito,26286939000158;26287464000114;28169275000172,True,candidato atômico; frequência não implica prática de mercado,expandir
classe e patrimônio segregado,,regime e arquitetura,Cada classe possui patrimônio segregado; subclasse não recebe parcela patrimonial afetada.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
coobrigação possível,,transferência,Coobrigação varia conforme o direito e o instrumento.,específica de template,1,15,0.06666666666666667,0.033022983562912056,1,1,1,Financeiro,53216449000158,True,candidato atômico; frequência não implica prática de mercado,novo
cota,,regime e arquitetura,Cota corresponde a fração do patrimônio da classe.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
critérios de elegibilidade,,elegibilidade,"Testes contratuais de entrada, distintos de existência e transferência.",prática recorrente,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,expandir
custodiante contratado para lastro,,lastro,"O prestador efetivo depende do contrato, sob responsabilidade normativa aplicável.",prática recorrente,1,15,0.06666666666666667,0.05159801331995545,1,1,1,Cartão de crédito,62393679000183,True,candidato atômico; frequência não implica prática de mercado,corrigir
custódia e verificação periódica,,lastro,Custódia depende do tipo de ativo; verificação periódica tem hipóteses próprias.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
dispensa de descumprimento,,eventos e governança,Dispensa específica é um waiver; não altera permanentemente a regra sem ato competente.,específica de fundo,1,15,0.06666666666666667,0.03463695390829469,1,1,1,Cartão de crédito,28169275000172,True,candidato atômico; frequência não implica prática de mercado,novo
dispensa de verificação de lastro,,lastro,Há dispensa específica; custodiante não é verificador universal.,específica de fundo,1,15,0.06666666666666667,0.31440768349726866,1,1,1,Industrial,09195235000150,True,candidato atômico; frequência não implica prática de mercado,corrigir
elegibilidade de NPL e precatório,,termo por recebível,Créditos vencidos ou litigiosos exigem critérios próprios; não definem todo FIDC.,específica de subtipo,1,15,0.06666666666666667,0.029791755106718963,1,1,1,Setor público,29225241000110,True,candidato atômico; frequência não implica prática de mercado,novo
elegibilidade versus concentração,,elegibilidade,Teste individual e limite agregado são dimensões separadas.,prática recorrente,1,15,0.06666666666666667,0.038126080855683926,1,1,1,Serviços,52610624000124,True,candidato atômico; frequência não implica prática de mercado,corrigir
endosso eletrônico em preto,,transferência,Endosso é forma própria de transferência e não alias automático de cessão civil.,específica de subtipo,1,15,0.06666666666666667,0.040226535326229565,1,1,1,Comercial,63953619000130,True,candidato atômico; frequência não implica prática de mercado,novo
evento de avaliação,,eventos e governança,"Evento, cura e consequência precisam ser capturados separadamente.",prática recorrente,1,15,0.06666666666666667,0.038126080855683926,1,1,1,Serviços,52610624000124,True,candidato atômico; frequência não implica prática de mercado,corrigir
excesso de spread,,reforços de crédito,Conceito analítico de margem residual; o rótulo literal não apareceu nos 15 regulamentos.,inferência analítica,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,conflito
fundo,,regime e arquitetura,Fundo de investimento é comunhão de recursos sob condomínio de natureza especial.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,expandir
fundo versus CNPJ da classe,,regime e arquitetura,O identificador documental pode pertencer à classe; o fundo e as classes devem ser reconciliados.,específica de fundo,1,15,0.06666666666666667,0.03463695390829469,1,1,1,Cartão de crédito,28169275000172,True,candidato atômico; frequência não implica prática de mercado,novo
"fundo, classe, subclasse, série e cota",,regime e arquitetura,Níveis distintos: classe tem patrimônio; subclasses e séries diferenciam direitos de cotas.,normativa refletida no contrato,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,corrigir
lastro na aquisição versus periódico,,lastro,Aquisição e verificação periódica possuem responsáveis e objetos distintos.,prática recorrente,1,15,0.06666666666666667,0.03064448317144945,1,1,1,Comercial,50906397000153,True,candidato atômico; frequência não implica prática de mercado,corrigir
limite de concentração,,concentração,Limites podem ter exceções e requisitos; o percentual de um fundo não é universal.,prática recorrente,1,15,0.06666666666666667,0.21010605702698387,1,1,1,Cartão de crédito,26287464000114,True,candidato atômico; frequência não implica prática de mercado,expandir
não incidência da verificação de lastro,,lastro,A natureza do instrumento pode afastar a rotina do art. 36.,específica de subtipo,2,15,0.13333333333333333,0.07374688854253317,1,1,2,Financeiro;Serviços,53286499000101;63700113000110,True,candidato atômico; frequência não implica prática de mercado,novo
não liquidação após evento,,eventos e governança,Evento de avaliação não equivale necessariamente a liquidação automática.,prática recorrente,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,corrigir
patrimônio segregado,,regime e arquitetura,"Patrimônio próprio da classe, sem patrimônio separado por subclasse.",normativa refletida no contrato,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,expandir
período de investimento,,ciclo da carteira,Período de investimento delimita reinvestimento e não é sinônimo de ramp-up.,específica de fundo,1,15,0.06666666666666667,0.040226535326229565,1,1,1,Comercial,63953619000130,True,candidato atômico; frequência não implica prática de mercado,novo
provisão,,contabilidade,"Ajuste contábil por redução do valor recuperável, distinto de perda realizada e caixa reservado.",normativa contábil,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
provisão versus perda,,desempenho e contabilidade,Provisão e perda reconhecida são registros diferentes.,prática recorrente,2,15,0.13333333333333333,0.07153837052472932,2,2,2,Cartão de crédito;Serviços,26286939000158;52610624000124,True,candidato atômico; frequência não implica prática de mercado,corrigir
ramp-up contratual,,ciclo da carteira,Mudança inicial de parâmetro é específica; ocorreu em uma família no corpus.,idiossincrática,1,15,0.06666666666666667,0.05159801331995545,1,1,1,Cartão de crédito,62393679000183,True,candidato atômico; frequência não implica prática de mercado,idiossincrático
rating da subclasse sênior,,oferta e rating,Exigência específica quando cotas seniores são distribuídas ao público em geral.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
rating não universal,,oferta e rating,Rating não é atributo obrigatório de toda cota de FIDC.,contraprova específica,1,15,0.06666666666666667,0.038126080855683926,1,1,1,Serviços,52610624000124,True,candidato atômico; frequência não implica prática de mercado,corrigir
rating por série,,oferta e rating,"Objeto, série, escala e data-base devem ser identificados.",específica de fundo,1,15,0.06666666666666667,0.05159801331995545,1,1,1,Cartão de crédito,62393679000183,True,candidato atômico; frequência não implica prática de mercado,expandir
recompra ou resolução por vício,,transferência,Remédio por desconformidade original não equivale a proteção geral contra inadimplência.,específica de fundo,1,15,0.06666666666666667,0.040226535326229565,1,1,1,Comercial,63953619000130,True,candidato atômico; frequência não implica prática de mercado,corrigir
reserva de aquisição,,reforços e liquidez,Reserva de aquisição financia compras e não é sinônimo de caixa livre.,específica de fundo,1,15,0.06666666666666667,0.05159801331995545,1,1,1,Cartão de crédito,62393679000183,True,candidato atômico; frequência não implica prática de mercado,novo
reserva de despesas,,reforços e liquidez,Reserva de despesas não deve ser fundida com reserva de amortização ou perdas.,prática recorrente,1,15,0.06666666666666667,0.029791755106718963,1,1,1,Setor público,29225241000110,True,candidato atômico; frequência não implica prática de mercado,expandir
reserva de liquidez,,reforços e liquidez,"Reserva exige finalidade, alvo, saques e recomposição próprios.",prática recorrente,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,expandir
revolvência,,ciclo da carteira,Aquisição de novos direitos com recursos da carteira conforme política e período definidos.,normativa;prática recorrente,2,15,0.13333333333333333,0.23595242068919284,2,2,2,Cartão de crédito;Financeiro,26287464000114;42922136000107,True,candidato atômico; frequência não implica prática de mercado,novo
segmentos da Tabela II,,reporte regulatório,Tabela II classifica valores reportados; as aberturas financeiras possuem semântica própria.,orientação oficial,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,novo
"subclasse sênior, mezanino e subordinada",,regime e arquitetura,Senioridade é atributo de subclasses de cotas dentro da classe.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,corrigir
série,,regime e arquitetura,Série é subconjunto de cotas seniores de classe fechada nas condições normativas.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,novo
verificação de lastro na aquisição,,lastro,"Responsabilidade do gestor, com contratação e amostragem admitidas nas condições da norma.",normativa;prática recorrente,1,15,0.06666666666666667,0.03463695390829469,1,1,1,Cartão de crédito,28169275000172,True,candidato atômico; frequência não implica prática de mercado,corrigir
waterfall de caixa,,estrutura de capital,Ordem de caixa é distinta da apropriação de resultado e da absorção de perdas.,prática recorrente,1,15,0.06666666666666667,0.03341228966904539,1,1,1,Cartão de crédito,26286939000158,True,candidato atômico; frequência não implica prática de mercado,corrigir
waterfall sem subordinação,,estrutura de capital,Waterfall operacional pode coexistir com cotas pari passu.,contraprova específica,1,15,0.06666666666666667,0.025846363662209007,1,1,1,Financeiro,42922136000107,True,candidato atômico; frequência não implica prática de mercado,novo
write-off,,contabilidade,Lançamento para perdas segue critérios próprios e não encerra necessariamente a cobrança.,orientação oficial,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,novo
índice de subordinação,,estrutura de capital,Relação mínima referente à subclasse subordinada ou mezanino e ao PL da classe.,específica de fundo;normativa,1,15,0.06666666666666667,0.038126080855683926,1,1,1,Serviços,52610624000124,True,candidato atômico; frequência não implica prática de mercado,corrigir
índice referencial,,oferta e remuneração,Índice usado como referência de rentabilidade de subclasse sênior ou mezanino.,normativa,0,não aplicável — base normativa,,,0,0,0,,,True,conceito de base normativa,expandir
